,SC0,Duration (in seconds),Music Training Index (max =49),Age,Gender
SC0,1.0,0.3365587539407252,-0.19119390471099287,0.13609279767452065,0.2705576552399885
Duration (in seconds),0.3365587539407252,1.0,-0.1569477183882708,0.06085473833605243,0.08808499584234396
Music Training Index (max =49),-0.19119390471099287,-0.1569477183882708,1.0,-0.36802986873269067,-0.20749669000589965
Age,0.13609279767452065,0.06085473833605243,-0.36802986873269067,1.0,0.2726250058814247
Gender,0.2705576552399885,0.08808499584234396,-0.20749669000589965,0.2726250058814247,1.0
